"medicine_name","category","rxcui","source"
"2-ethylhexyl 4-phenylbenzophenone-2'-carboxylate","RxNav Ingredient","1546353","RxNav"
"2-ethylhexyl acrylate","RxNav Ingredient","1432294","RxNav"
"2-ethylhexyl benzoate","RxNav Ingredient","1313732","RxNav"
"2-ethylhexyl glycidyl ether","RxNav Ingredient","2369827","RxNav"
"2-ethylhexyl stearate","RxNav Ingredient","1368886","RxNav"
"2-glyceryl capryl ether","RxNav Ingredient","2665085","RxNav"
"2-hexenal propylene glycol acetal, (1e)-","RxNav Ingredient","1673572","RxNav"
"2-hexenal, (2e)-","RxNav Ingredient","2281309","RxNav"
"2-hydroxyacetophenone","RxNav Ingredient","1919492","RxNav"
"2-hydroxydecanoate","RxNav Ingredient","1486028","RxNav"
"2-hydroxyethyl acrylate","RxNav Ingredient","1314328","RxNav"
"2-hydroxyethyl methacrylate","RxNav Ingredient","1362692","RxNav"
"2-hydroxypropyl methacrylate","RxNav Ingredient","2204914","RxNav"
"2-isobutyl-4-methyltetrahydropyran-4-ol","RxNav Ingredient","1725033","RxNav"
"2-ketogluconate","RxNav Ingredient","1869045","RxNav"
"2-mercaptobenzothiazole","RxNav Ingredient","1358845","RxNav"
"2-mercaptoethanesulfonic acid","RxNav Ingredient","1546354","RxNav"
"2-methacryloyloxyethyl phosphorylcholine","RxNav Ingredient","2584546","RxNav"
"2-methoxy-1-propanol","RxNav Ingredient","2380833","RxNav"
"2-methyl 5-cyclohexylpentanol","RxNav Ingredient","2266744","RxNav"
"2-methyl-1,2-benzoisothiazolin-3-one","RxNav Ingredient","2362185","RxNav"
"2-methyl-2-methylamino-1-propanol","RxNav Ingredient","2396758","RxNav"
"2-methyl-2-propylpropane-1,3-diol","RxNav Ingredient","1648135","RxNav"
"2-methyl-4-isothiazolin-3-one","RxNav Ingredient","1367166","RxNav"
"2-methyl-4-phenyl-2-butanol","RxNav Ingredient","2289004","RxNav"
"2-methylbutyric acid","RxNav Ingredient","2281310","RxNav"
"2-methyllactic acid","RxNav Ingredient","2685742","RxNav"
"2-methylundecanal","RxNav Ingredient","2378836","RxNav"
"2-n-octyl-4-isothiazolin-3-one","RxNav Ingredient","1362738","RxNav"
